Estado,Ano,Emissao,Emissao_sem_outlier
PB,2017,103923198.25856368,103923198.25856368
PB,2018,90315351.43086441,90315351.43086441
PB,2019,84008475.3548751,84008475.3548751
PB,2020,86115779.82540317,86115779.82540317
PB,2021,95325043.68136296,95325043.68136296
PE,1970,20705103.372718815,20705103.372718815
PE,1971,24108265.84314871,24108265.84314871
PE,1972,25312583.45803563,25312583.45803563
PE,1973,26575510.946473017,26575510.946473017
PE,1974,28153075.52203014,28153075.52203014
PE,1975,29370643.412980832,29370643.412980832
PE,1976,31010327.31160123,31010327.31160123
PE,1977,31738980.588437993,31738980.588437993
PE,1978,33192763.54833424,33192763.54833424
PE,1979,33836354.149265036,33836354.149265036
PE,1980,48324607.916065045,48324607.916065045
PE,1981,48631238.1222275,48631238.1222275
PE,1982,58132460.0766693,58132460.0766693
PE,1983,51275660.8559666,51275660.8559666
PE,1984,51379813.82254983,51379813.82254983
PE,1985,54187441.547671154,54187441.547671154
PE,1986,58329151.0010833,58329151.0010833
PE,1987,61132890.87749214,61132890.87749214
PE,1988,60085954.83088311,60085954.83088311
PE,1989,60348144.53217026,60348144.53217026
PE,1990,142556445.79280508,142556445.79280508
PE,1991,143595971.1528901,143595971.1528901
PE,1992,127695852.28533629,127695852.28533629
PE,1993,108258750.4715302,108258750.4715302
PE,1994,95037757.32886665,95037757.32886665
PE,1995,108747701.85565232,108747701.85565232
PE,1996,109408040.10606277,109408040.10606277
PE,1997,108632486.14453812,108632486.14453812
PE,1998,122317826.60341738,122317826.60341738
PE,1999,108992656.15703407,108992656.15703407
PE,2000,108447225.86665398,108447225.86665398
PE,2001,110996251.69620614,110996251.69620614
PE,2002,112572214.6846422,112572214.6846422
PE,2003,110204310.40707093,110204310.40707093
